aardvark,Aardvark
ensign,insigne
ensigns,enseignes
enslave,asservir
enslaved,esclave
enslavement,asservissement
enslaves,esclaves
enslaving,asservir
ensnare,piéger
ensnared,pris au piège
ensnaring,prendre au piège
ensnarl,ensnarl
ensue,résulter
ensued,suite
ensues,s'ensuit
ensuing,qui s'ensuit
ensure,assurer
ensured,assuré
ensures,assure
ensuring,assurer
entablature,entablement
entail,entraîner
entailed,entraîné
entailing,entraînant
entailment,implication
entails,implique
entangle,emmêler
entangled,enchevêtré
entanglement,enchevêtrement
entanglements,enchevêtrements
entangler,entangler
entangles,enchevêtrements
entangling,emmêler
entente,entente
enter,Entrer
entered,entré
entering,entrer
enteritis,entérite
enterprise,entreprise
enterprises,entreprises
enterprising,entreprenant
enters,entre dans
entertain,divertir
entertained,amusé
entertainer,artiste
entertainers,amuseurs
entertaining,divertissant
entertainingly,divertissant
entertainment,divertissement
entertainments,divertissements
entertains,divertit
enthalpies,enthalpies
enthalpy,enthalpie
enthralled,captivé
enthralling,captivant
enthrone,introniser
enthroned,intronisé
enthronement,intronisation
enthuse,enthousiasmer
enthused,enthousiaste
enthuses,enthousiasme
enthusiasm,enthousiasme
enthusiasms,enthousiasmes
enthusiast,passionné
enthusiastic,enthousiaste
enthusiastically,avec enthousiasme
enthusiasts,enthousiastes
enthusing,enthousiaste
entice,attirer
enticed,séduit
"enticement                      ,",séduction
enticements,incitations
entices,attire
enticing,séduisant
enticingly,séduisant
entire,tout
entirely,entièrement
entires,entire
entirety,intégralité
entities,entités
entitle,droit
entitled,intitulé
entitlement,droit
entitlements,droits
entitles,autorise
entitling,habiliter
entity,entité
entomb,ensevelir
entombed,enterré
entombment,mise au tombeau
entombs,des tombes
entomological,entomologique
entomologist,entomologiste
entomologists,entomologistes
entomology,entomologie
entourage,entourage
entrails,entrailles
entrain,entraîner
entrained,entraîné
entrainment,entrainement
entrance,entrée
entranced,ravi
entrances,les entrées
entrancing,ravissant
entrant,participant
entrants,les entrants
entrap,prendre au piège
entrapment,piégeage
entrapped,pris au piège
entrapping,piéger
entreat,supplier
entreated,supplié
entreaties,supplications
entreating,implorer
entreatingly,suppliant
entreats,supplie
entreaty,prière
entree,entrée
entrench,retrancher
entrenched,retranché
entrenching,enracinement
entrenchment,retranchement
entrepreneur,entrepreneur
entrepreneurial,entrepreneurial
entrepreneurs,entrepreneurs
entrepreneurship,entrepreneuriat
entries,entrées
entropic,entropique
entropy,entropie
entrust,confier
entrusted,confié
entrusting,confier
entrusts,confie
entry,entrée
entwine,enlacer
entwined,enlacé
entwines,entwines
entwining,entrelacement
enumerable,énumérable
enumerate,énumérer
enumerated,dénombré
enumerates,énumère
enumerating,énumérer
enumeration,énumération
enumerations,énumérations
enumerator,énumérateur
enumerators,enquêteurs
enunciate,énoncer
enunciated,énoncé
enunciating,énonciation
enunciation,énonciation
envelop,envelopper
envelope,enveloppe
enveloped,enveloppé
enveloper,Enveloppeur
envelopers,enveloppeurs
envelopes,enveloppes
enveloping,enveloppant
envelops,enveloppes
enviable,enviable
enviably,enviablement
envied,envié
envies,envie
envious,envieux
enviously,enviously
environ,environ
environment,environnement
environmental,environnement
environmentalism,environnementalisme
environmentalist,écologiste
environmentalists,écologistes
environmentally,environnement
environments,environnements
environs,environs
envisage,envisager
envisaged,prévu
envisages,prévoit
envisaging,prévoir
envision,envisager
envisioned,envisagé
envoy,envoyé
envoys,envoyés
envy,envie
envying,envier
enwrap,envelopper
enzymatic,enzymatique
enzyme,enzyme
enzymes,enzymes
eon,eon
eons,éons
eosin,éosine
epaulettes,épaulettes
ephemera,éphémère
ephemeral,éphémère
ephemeris,éphémérides
ephor,éphor
epic,épique
epically,épique
epicarp,épicarpe
epicentre,épicentre
epics,épopées
epicure,gourmet
epicurean,épicurien
epicycles,epicycles
epicycloid,épicycloïde
epidemic,épidémie
epidemics,épidémies
epidemiological,épidémiologique
epidemiologist,épidémiologiste
epidemiologists,épidémiologistes
epidemiology,épidémiologie
epidermal,épidermique
epidermis,épiderme
epidural,péridurale
epigenetic,épigénétique
epigon,epigon
epigones,épigones
epigram,épigramme
epigrammatic,épigrammatique
epigrams,épigrammes
epigraph,épigraphe
epigraphical,épigraphique
epigraphy,épigraphie
epilepsy,épilepsie
epileptic,épileptique
epileptics,épileptiques
epilogue,épilogue
epinephrine,épinéphrine
epiphanies,épiphanies
epiphenomena,épiphénomène
epiphenomenon,épiphénomène
episcopacy,épiscopat
episcopal,épiscopal
episcopalian,épiscopalien
episcopate,épiscopat
episode,épisode
episodes,épisodes
episodic,épisodique
episodically,épisodiquement
epistemic,épistémique
epistemological,épistémologique
epistemology,épistémologie
epistle,épître
epistles,épîtres
epistolary,épistolaire
epitap,épitap
epitaph,épitaphe
epitaphs,épitaphes
epitaxial,épitaxiale
epitaxy,épitaxie
epithelial,épithélium
epithelium,épithélium
epithet,épithète
epithetic,épithétique
epithets,épithètes
epitome,exemple
epitomise,incarner
epitomised,incarné
epitomises,incarne
epoch,époque
epochal,époque
epochs,époques
epoxies,époxy
epoxy,époxy
epsilon,epsilon
equable,égal
equably,équitablement
equal,égal
equalisation,égalisation
equalise,égaliser
equalised,égalisé
equaliser,égaliseur
equalisers,égaliseurs
equalising,égalisation
equalities,égalités
equality,égalité
equalled,égalé
equalling,égaler
equally,également
equals,équivaut à
equanimity,équanimité
equate,assimiler
equated,assimilé
equates,équivaut
equating,assimiler
equation,équation
equations,équations
equator,équateur
equatorial,équatorial
equerry,écuyer
equestrian,équestre
equestrianism,équitation
equiangular,équiangle
equidistant,équidistant
equilateral,équilatéral
equilibrating,équilibrage
equilibration,équilibration
equilibria,l'équilibre
equilibrium,équilibre
equine,équin
equinoctial,équinoxial
equinox,équinoxe
equinoxes,équinoxes
equip,équiper
equipartition,equipartition
equipment,équipement
equipments,équipements
equipped,équipé
equipping,équipement
equips,équipe
equitable,équitable
equitably,équitablement
equities,les actions
equity,équité
equivalence,équivalence
equivalences,équivalences
equivalent,équivalent
equivalently,de manière équivalente
equivalents,équivalents
equivocal,équivoque
equivocated,équivoque
equivocating,équivoque
equivocation,équivoque
equivocations,équivoques
era,ère
eradicate,éradiquer
eradicated,éradiqué
eradicating,éradiquer
eradication,éradication
eras,époques
erasable,effaçable
erase,effacer
erased,effacé
eraser,la gomme
erasers,effaceurs
erases,effacer
erasing,effacement
erasure,effacement
erasures,effacements
erbium,erbium
ere,avant
erect,ériger
erected,érigé
erecter,Erecter
erectile,érectile
erecting,construction
erection,érection
erections,érections
erectly,à l'horizontale
erects,ériger
erg,erg
ergo,ergo
ergodic,ergodique
ergonomic,ergonomique
ergonomically,ergonomiquement
ergonomics,ergonomie
ergophobia,ergophobie
ergot,ergot
ergs,ergs
erica,erica
"ericas             ,",ericas
eritrea,Eritrea
ermine,hermine
erode,éroder
eroded,érodé
erodes,érode
eroding,éroder
erogenous,érogène
eros,Éros
erose,s'ériger
erosion,érosion
erosional,érosion
erosions,érosions
erosive,érosif
erotic,érotique
erotica,érotique
erotically,érotique
eroticism,érotisme
err,se tromper
errand,course
errands,courses
errant,errant
errata,errata
erratic,erratique
erratically,erratique
erratum,erratum
erred,erré
erring,errant
erroneous,erroné
erroneously,par erreur
error,Erreur
errors,les erreurs
errs,erreurs
ersatz,ersatz
erst,erst
erstwhile,autrefois
erudite,érudit
erudition,érudition
erupt,éclater
erupted,éruption
erupting,en éruption
eruption,éruption
eruptions,éruptions
eruptive,éruptif
erupts,éclate
erysipelas,érésipèle
esau,Esau
escalade,escalade
escalate,intensifier
escalated,escaladé
escalates,intensifie
escalating,escalade
escalation,escalade
escalator,escalier mécanique
escalators,escalators
escapade,escapade
escapades,escapades
escape,échapper
escaped,échappé
escapee,évadé
escapees,échappe
escapement,échappement
escapes,s'échappe
escaping,s'échapper
escapism,évasion
escapist,évasion
escapology,escapologie
escarp,escarpe
escarpment,escarpement
escarpments,escarpements
escarps,escarpes
eschatological,eschatologique
eschatology,eschatologie
eschew,éviter
eschewed,évité
eschewing,échapper
eschews,éviter
escort,escorte
escorted,escorté
escorting,escorter
escorts,escortes
escudo,escudo
eskimo,esquimau
esoteric,ésotérique
esoterica,Ésotérique
esoterically,ésotériquement
espadrilles,espadrilles
especial,particulier
especially,notamment
espied,espéré
espionage,espionnage
esplanade,esplanade
espousal,adoption
espouse,adopter
espoused,épousé
espouses,épouse
espousing,épouser
espresso,Expresso
esprit,esprit
espy,espy
espying,espying
esquire,écuyer
esquires,écoutes
essay,essai
essayed,essayé
essayist,essayiste
essayists,essayistes
essays,essais
essen,Essen
essence,essence
essences,essences
essential,essentiel
essentialism,essentialisme
essentialist,essentialiste
essentially,essentiellement
essentials,essentiel
est,est
establish,établir
established,établi
establishes,établit
establishing,établissement
establishment,établissement
establishments,établissements
estate,biens
estates,propriétés
esteem,estime
esteemed,estimé
esteems,estime
ester,ester
esters,esters
esthete,esthète
esthetic,esthétique
estimable,estimable
estimate,estimation
estimated,estimé
estimates,estimations
estimating,estimer
estimation,estimation
estimations,estimations
estimator,estimateur
estimators,estimateurs
estonia,Estonie
estranged,séparé
estrangement,éloignement
estrangements,étranglements
estuaries,estuaires
estuarine,estuaire
estuary,estuaire
eta,eta
etal,etal
etcetera,etc
etch,graver
etched,gravée
etcher,graveur
etchers,etchers
etches,Etches
etching,gravure
etchings,eaux-fortes
eternal,éternel
eternally,éternellement
eternity,éternité
ethane,éthane
ethanol,éthanol
ether,éther
ethereal,éthéré
ethereally,éthéré
etherised,éthéré
ethic,éthique
ethical,éthique
ethically,éthiquement
ethicist,éthicien
ethics,éthique
ethiopia,Ethiopie
ethnic,ethnique
ethnical,ethnique
ethnically,ethniquement
ethnicity,ethnicité
ethnocentric,ethnocentrique
ethnographer,ethnographe
ethnographers,ethnographes
ethnographic,ethnographique
ethnography,ethnographie
ethnological,ethnologique
ethnology,ethnologie
ethological,éthologique
ethologist,éthologue
ethologists,éthologues
ethology,éthologie
ethos,ethos
ethyl,éthyle
ethylene,éthylène
etiquette,étiquette
etna,etna
etudes,études
etui,etui
etymological,étymologique
etymologically,étymologiquement
etymologies,étymologies
etymologist,étymologiste
etymologists,étymologistes
etymology,étymologie
eucalyptus,eucalyptus
eugenic,eugénique
eugenics,eugénisme
eukaryote,eucaryote
eukaryotes,eucaryotes
eukaryotic,eucaryote
eulogies,éloges
eulogise,faire l'éloge
eulogises,faire l'éloge
eulogising,faire l'éloge
eulogistic,élogieux
eulogy,éloge
eunuch,eunuque
eunuchs,eunuques
euphemism,euphémisme
euphemisms,euphémismes
euphemistic,euphémique
euphemistically,par euphémisme
euphonious,euphonique
euphonium,euphonium
euphoniums,euphoniums
euphony,euphonie
euphoria,euphorie
euphoric,euphorique
eurasia,Eurasie
eurasian,eurasien
eureka,eureka
eurekas,eurekas
euro,euro
europe,L'Europe ?
european,européen
eurydice,eurydice
eutectic,eutectique
euthanasia,euthanasie
evacuate,évacuer
evacuated,évacué
evacuating,évacuant
evacuation,évacuation
evacuations,évacuations
evacuee,évacué
evacuees,évacués
evadable,évadable
evade,éluder
evaded,éludé
evader,évadé
evaders,escrocs
evades,esquive
evading,échapper
evaluable,évaluable
evaluate,évaluer
evaluated,évalué
evaluates,évalue
evaluating,évaluer
evaluation,évaluation
evaluational,évaluation
evaluations,évaluations
evaluative,évaluatif
evaluator,évaluateur
evaluators,évaluateurs
evanescent,évanescent
evangelical,évangélique
"evangelicalism            ,",évangélisme
evangelicals,évangéliques
evangelisation,évangélisation
evangelise,évangéliser
evangelising,évangéliser
evangelism,évangélisme
evangelist,évangéliste
evangelistic,évangélique
evangelists,évangélistes
evaporate,évaporer
evaporated,évaporé
evaporates,s'évapore
evaporating,s'évaporer
evaporation,évaporation
evaporator,évaporateur
evasion,évasion
evasions,évasions
evasive,évasif
evasively,évasivement
evasiveness,évasivité
eve,veille
even,même
evened,égalisé
evener,même
evenhanded,égalisé
evening,soir
evenings,soirées
evenly,uniformément
evenness,uniformité
evens,Evens
evensong,vêpres
event,un événement
eventful,mouvementé
eventide,l'eventide
eventing,événement
events,événements
eventual,éventuel
eventualities,les éventualités
eventuality,éventualité
eventually,finalement
ever,déjà
everchanging,en constante évolution
everest,l'everest
evergreen,à feuilles persistantes
evergreens,evergreens
everincreasing,toujours croissant
everlasting,éternel
everlastingly,éternellement
everliving,éternel
evermore,toujours
everpresent,toujours présent
eversion,éversion
everting,évertir
every,chaque
everybody,Tout le monde
everyday,tous les jours
everyone,toutes les personnes
everything,tout
everywhere,partout
eves,eves
evict,expulser
evicted,expulsé
evicting,expulser
eviction,expulsion
evictions,expulsions
evicts,expulsions
evidence,preuve
evidenced,mis en évidence
evidences,preuves
evident,évident
evidential,Evidentiel
evidently,évidemment
evil,mal
evildoer,scélérat
evilly,mal
evilness,malveillance
evils,maux
evince,montrer
evinced,manifesté
evinces,témoigne
evincing,témoignant
eviscerate,éviscérer
evocation,évocation
evocations,évocations
evocative,évocateur
evocatively,évocateur
evoke,évoquer
evoked,évoqué
evokes,évoque
evoking,évoquer
evolute,évoluer
evolution,évolution
evolutionarily,évolutionniste
evolutionary,évolutionniste
evolutionism,évolutionnisme
evolutionist,évolutionniste
evolutionists,évolutionnistes
evolutions,les évolutions
evolve,évoluer
evolved,évolué
evolves,évolue
evolving,évoluant
ewe,brebis
ewes,brebis
exacerbate,exacerber
exacerbated,exacerbé
exacerbates,exacerbe
exacerbating,exacerber
exacerbation,exacerbation
exact,exact
exacted,exigé
exacting,exigeant
exaction,exaction
exactitude,exactitude
exactly,exactement
exactness,exactitude
exacts,exacts
exaggerate,exagérer
exaggerated,exagéré
exaggeratedly,exagérément
exaggerates,exagère
exaggerating,exagérer
exaggeration,exagération
exaggerations,exagérations
exalt,exalter
exaltation,exaltation
exalted,exalté
exalting,exaltant
exalts,exalte
exam,examen
examinable,examinable
examination,examen
examinations,examens
examine,examiner
examined,examiné
examinees,les candidats
examiner,examinateur
examiners,examinateurs
examines,examine
examining,examinant
example,Exemple
examples,exemples
exams,examens
exasperate,exaspérer
exasperated,exaspéré
exasperatedly,exaspéré
exasperating,exaspérant
exasperation,exaspération
excavate,creuser
excavated,excavé
excavating,excavation
excavation,les fouilles
excavations,excavations
excavator,pelle
excavators,pelles
exceed,dépasser
exceeded,dépassé
exceeding,dépassement
exceedingly,extrêmement
exceeds,dépasse
excel,exceller
excelled,excellé
excellence,excellence
excellencies,Excellences
excellency,Excellence
excellent,excellent
excellently,parfaitement
excelling,excellant
excels,excelle
excelsior,excelsior
except,sauf
excepted,excepté
excepting,excepté
exception,exception
exceptionable,exceptionnel
exceptional,exceptionnel
exceptionally,exceptionnellement
exceptions,des exceptions
excepts,excepts
excerpt,extrait
excerpted,extrait
excerpts,des extraits
excess,excès
excesses,excès
excessive,excessif
excessively,excessivement
exchange,échange
exchangeable,échangeable
exchanged,échangé
exchanger,échangeur
exchangers,échangeurs
exchanges,des échanges
exchanging,échanger
exchequer,échiquier
excise,exciser
excised,excisé
excising,exciser
excision,excision
excitability,excitabilité
excitable,excitable
excitation,excitation
excitations,excitations
excite,exciter
excited,excité
excitedly,avec enthousiasme
excitement,excitation
excitements,excitations
excites,excite
exciting,passionnant
excitingly,passionnément
exciton,exciton
exclaim,exclamer
exclaimed,exclamé
exclaiming,s'exclamer
exclaims,s'exclame
exclamation,exclamation
exclamations,exclamations
exclamatory,exclamatif
exclude,exclure
excluded,exclu
excludes,exclut
excluding,à l'exclusion
exclusion,exclusion
exclusionary,exclusionnaire
exclusions,exclusions
exclusive,exclusif
exclusively,exclusivement
exclusiveness,exclusivité
exclusivist,exclusiviste
exclusivity,exclusivité
excommunicate,excommunier
excommunicated,excommunié
excommunicating,excommunier
excommunication,excommunication
excrete,excréter
"excruciating              ,",atroce
excruciatingly,atrocement
excruciation,excruciation
excursion,excursion
excursionists,excursionnistes
excursions,excursions
excursus,excursus
excusable,excusable
excuse,excuse
excused,excusé
excuses,des excuses
excusing,excuser
executable,exécutable
execute,exécuter
executed,réalisé
executes,exécute
executing,en cours d'exécution
execution,exécution
executioner,bourreau
executioners,bourreaux
executions,exécutions
executive,exécutif
executives,cadres
executor,exécuteur
executors,exécuteurs
exegesis,exégèse
exegetical,exégétique
exemplar,exemple
exemplars,exemplaires
exemplary,exemplaire
exemplification,exemplification
exemplified,exemplifié
exemplifies,des exemples
exemplify,exemplifier
exemplifying,exemple
exempt,exempter
exempted,exempté
exempting,exempter
exemption,exemption
exemptions,exemptions
exempts,exempte
exercisable,exerçable
exercise,exercice
exercised,exercé
exerciser,exerciseur
exercises,des exercices
exercising,faire de l'exercice
exert,exercer
exerted,exercé
exerting,exercer
exertion,effort
exertions,des efforts
exerts,exerce
exes,exes
exeunt,sortir
exfoliation,exfoliation
exhalation,exhalation
exhalations,exhalations
exhale,exhaler
exhaled,exhalé
exhales,exhale
exhaling,expirer
exhaust,échappement
exhausted,épuisé
exhaustible,non renouvelable
exhausting,épuisant
exhaustion,épuisement
exhaustive,complet
exhaustively,exhaustivement
exhausts,échappements
exhibit,exposition
exhibited,exposé
exhibiting,exposant
exhibition,exposition
exhibitioner,boursier
exhibitioners,exhibitionnistes
exhibitionism,exhibitionnisme
exhibitionist,exhibitionniste
exhibitionists,exhibitionnistes
exhibitions,des expositions
exhibitor,exposant
exhibitors,exposants
exhibits,expositions
exhilarate,exaltant
exhilarated,exalté
exhilarating,exaltant
exhilaration,euphorie
exhort,exhorter
exhortation,exhortation
exhortations,exhortations
exhorted,exhorté
exhorting,exhortant
exhorts,exhorte
exhumation,exhumation
exhume,exhumer
exhumed,exhumée
exhumes,exhume
exhuming,exhumant
exhusband,exhusband
exigencies,exigences
exigency,exigence
exigent,exigeant
exiguous,exigu
exile,exilé
exiled,exilé
exiles,exilés
exiling,l'exil
exist,exister
existed,existé
existence,existence
existences,existences
existent,existant
existential,existentiel
existentialism,existentialisme
existentialist,existentialiste
existentialistic,existentialiste
existentially,existentiellement
existing,existant
exists,existe
exit,Sortie
exited,quitté
exiting,quitter
exits,quitte
exmember,exmembre
exmembers,exmembres
exocrine,exocrine
exoderm,exoderme
exodus,exode
exogenous,exogène
exogenously,exogène
exonerate,disculper
exonerated,exonéré
exonerates,exonère
exonerating,exonérer
exoneration,exonération
exorbitant,exorbitant
exorbitantly,exorbitant
exorcise,exorciser
exorcised,exorcisé
exorcising,exorciser
exorcism,exorcisme
exorcisms,exorcismes
exorcist,exorciste
exoskeleton,exosquelette
exothermic,exothermique
exothermically,exothermiquement
exotic,exotique
exotica,exotica
exotically,exotique
exoticism,exotisme
expand,développer
expandability,extensibilité
expandable,extensible
expanded,étendu
expander,expandeur
expanding,expansion
expands,se développe
expanse,étendue
expanses,les étendues
expansible,expansible
expansion,expansion
expansionary,expansionniste
expansionism,expansionnisme
expansionist,expansionniste
expansions,expansions
expansive,expansif
expansively,expansivement
expansiveness,expansivité
expatriate,expatrié
expatriated,expatrié
expatriates,expatriés
expect,attendre
expectancies,espérances
expectancy,attente
expectant,expectative
expectantly,espérant
expectation,attente
expectational,expectative
expectations,attentes
expected,attendu
expecting,attendant
expectorate,expectorer
expectorated,expectoré
expectoration,expectoration
expects,attend
expedience,opportunité
expediency,opportunité
expedient,opportun
expedients,expédients
expedite,accélérer
expedited,accéléré
expedites,expédier
expediting,accélérer
expedition,expédition
expeditionary,expéditionnaire
expeditions,expéditions
expeditious,expéditif
expeditiously,rapidement
expel,expulser
expelled,exclu
expelling,expulser
expels,expulser
expend,dépenser
expendable,consommable
expended,dépensé
expending,dépenser
expenditure,dépense
expenditures,dépenses
expends,dépense
expense,frais
expenses,dépenses
expensive,coûteux
expensively,cher
experience,expérience
experienced,expérimenté
experiences,expériences
experiencing,éprouver
experiential,expérimental
experiment,expérience
experimental,expérimental
experimentalist,expérimentaliste
experimentalists,expérimental
experimentally,expérimentalement
experimentation,expérimentation
experimented,expérimenté
experimenter,expérimentateur
experimenters,expérimentateurs
experimenting,expérimenter
experiments,expériences
expert,expert
expertise,compétence
expertly,expertement
expertness,expertise
experts,experts
expiate,expier
expiation,expiation
expiatory,expiatoire
expiration,expiration
expiratory,expiratoire
expire,expirer
expired,expiré
expires,expire
expiring,expirant
expiry,expiration
explain,Explique
explainable,explicable
explained,expliqué
explaining,expliquer
explains,explique
"explanation            ,",explication
explanations,explications
explanatory,explicatif
expletive,explétif
expletives,jurons
explicable,explicable
explicate,expliquer
explicated,expliquée
explication,explication
explicative,explicatif
explicit,explicite
explicitly,explicitement
explicitness,explicitation
explode,exploser
exploded,a explosé
exploder,exploseur
exploders,exploseurs
explodes,explose
exploding,exploser
exploit,exploit
exploitable,exploitable
exploitation,exploitation
exploitations,les exploitations
exploitative,exploitatif
exploited,exploité
exploiter,exploiteur
exploiters,exploiteurs
exploiting,exploitant
exploits,exploits
explorable,explorable
exploration,exploration
explorations,explorations
exploratory,exploratoire
explore,explorer
explored,exploré
explorer,explorateur
explorers,explorateurs
explores,explore
exploring,explorant
explosion,explosion
explosions,explosions
explosive,explosif
explosively,explosivement
explosiveness,explosivité
explosives,explosifs
expo,expo
exponent,exposant
exponential,exponentiel
exponentially,exponentiellement
exponentiation,exponentiation
exponents,exposants
export,exportation
exportability,exportabilité
exportable,exportable
exported,exporté
exporter,exportateur
exporters,exportateurs
exporting,exporter
exports,exportations
expose,exposer
exposed,exposé
exposes,expose
exposing,exposer
exposition,exposition
expositions,expositions
expository,expositoire
expostulate,récriminer
expostulated,exposé
expostulating,exposer
expostulation,l'exposition
expostulations,expostulations
exposure,exposition
exposures,les expositions
expound,exposer
expounded,exposé
expounding,exposer
expounds,expose
express,Express
expressed,exprimé
expresses,exprime
expressible,expressible
expressing,exprimer
expression,expression
expressionism,expressionnisme
expressionist,expressionniste
expressionistic,expressionniste
expressionists,expressionnistes
expressionless,sans expression
expressionlessly,sans expression
expressions,expressions
expressive,expressif
expressively,expressivement
expressiveness,expressivité
expressly,expressément
expropriate,exproprier
expropriated,exproprié
expropriation,expropriation
expropriations,expropriations
expulsion,expulsion
expulsions,expulsions
expunge,effacer
expunged,effacé
expunges,expunges
expunging,expirer
expurgate,expurger
expurgated,expurgé
expurgating,expurgation
exquisite,exquis
exquisitely,exquisement
exquisiteness,exquisité
ext,ext
extend,étendre
extendability,extensibilité
extendable,extensible
extended,élargi
extender,extenseur
extenders,extendeurs
extendible,extensible
extending,extension
extends,s'étend
extensibility,extensibilité
extensible,extensible
extension,extension
extensional,extensional
extensionally,extensionnellement
extensions,extensions
extensive,extensif
extensively,largement
extensiveness,extensibilité
extensors,extenseurs
extent,ampleur
extents,extensions
extenuate,atténuer
extenuated,atténué
extenuating,atténuer
extenuation,atténuation
exterior,extérieur
exteriors,extérieurs
exterminate,exterminer
exterminated,exterminé
exterminates,exterminer
exterminating,exterminateur
extermination,extermination
exterminations,exterminations
exterminator,exterminateur
exterminators,exterminateurs
extern,externe
external,externe
externalised,externalisé
externally,extérieurement
externals,externals
externs,externs
extinct,disparu
extinction,extinction
extinctions,extinctions
extinguish,éteindre
extinguished,éteint
extinguisher,extincteur
extinguishers,extincteurs
extinguishes,éteint
extinguishing,extincteur
extinguishment,extinction
extirpate,extirper
extirpation,extirpation
extol,exalter
extolled,exalté
extolling,exaltant
extols,prosterne
extort,extorquer
extorted,extorqué
extorting,extorquer
extortion,extorsion
extortionate,exorbitant
extortionately,extorquer
extortionists,extorqueurs
extorts,extorsion
extra,supplémentaire
extracellular,extracellulaire
extract,extrait
extractable,extractible
extracted,extrait
extracting,extraire
extraction,extraction
extractions,extractions
extractive,extractif
extractor,extracteur
"extracts           ,",des extraits
extraditable,extraditable
extradite,extrader
extradited,extradé
extraditing,extrader
extradition,extradition
extragalactic,extragalactique
extrajudicial,extrajudiciaire
extralinguistic,extralinguistique
extramarital,en dehors du mariage
extramural,extra-muros
extraneous,étranger
extraordinarily,extraordinairement
extraordinary,extraordinaire
extrapolate,extrapoler
extrapolated,extrapolé
extrapolating,extrapoler
extrapolation,extrapolation
extrapolations,extrapolations
extras,extras
extrasolar,extrasolaire
extraterrestrial,extra-terrestre
extraterrestrials,extraterrestres
extraterritorial,extra-territorial
extravagance,extravagance
extravagances,extravagances
extravagant,extravagant
extravagantly,extravagante
extravaganza,extravagance
extravaganzas,extravagances
extrema,extrema
extremal,extrémal
extreme,extrême
extremely,extrêmement
extremes,extrêmes
extremest,extremest
extremism,extrémisme
extremist,extrémiste
extremists,extrémistes
extremities,extrémités
extremity,extrémité
extricate,dégager
extricated,dégainé
extricating,extraire
extrication,désincarcération
extrinsic,extrinsèque
extrinsically,extrinsèquement
extroversion,extraversion
extrovert,extraverti
extroverts,extravertis
extrude,extruder
extruded,extrudé
extrusion,extrusion
extrusions,extrusions
exuberance,exubérance
exuberant,exubérant
exuberantly,exubérante
exudate,exsudat
exude,exsuder
exuded,exsudé
exudes,exsude
exuding,exsudant
exult,exulter
exultant,exultant
exultantly,exultant
exultation,exultation
exulted,exulté
exulting,exultant
exultingly,exultingly
exults,exulte
exwife,exwife
exwives,exwives
eye,œil
eyeball,globe oculaire
eyeballs,globes oculaires
eyebrow,sourcil
eyebrows,les sourcils
eyecatching,attirant
eyed,regardé
eyeful,attentif
eyeglass,monocle
eyeglasses,lunettes
eyeing,lorgner
eyelash,cil
eyelashes,les cils
eyeless,sans yeux
eyelet,œillet
eyelets,oeillets
eyelevel,niveau des yeux
eyelid,paupière
eyelids,les paupières
eyelike,eyelike
eyeliner,eye-liner
eyepatch,cache-oeil
eyepiece,oculaire
eyes,les yeux
eyeshadow,le fard à paupières
eyesight,vue
eyesore,horreur
eyesores,horreurs
eyeteeth,oeil dents
eyetooth,eyetooth
eyewash,collyre
eyewitness,témoin oculaire
eyewitnesses,témoins oculaires
fab,Fab
fable,fable
fabled,légendaire
fables,fables
fabric,en tissu
fabricate,fabriquer
fabricated,fabriqué
fabricates,fabrique
fabricating,fabriquer
fabrication,fabrication
fabrications,fabrications
fabricator,fabricant
fabrics,tissus
fabulists,fabulistes
fabulous,fabuleux
fabulously,fabuleusement
facade,façade
facades,façades
face,visage
faced,face à
faceless,sans visage
facelift,facelift
faceplate,faceplate
facer,facer
facers,facers
faces,visages
facet,facette
faceted,à facettes
faceting,facettage
facetious,facétieux
facetiously,facétieusement
facetiousness,caractère facétieux
facets,facettes
facia,facia
facial,visage
facials,soins du visage
facile,facile
facilitate,faciliter
facilitated,facilité
facilitates,facilite
"facilitating     ,",faciliter
facilitation,facilitation
facilitative,facilitateur
facilitator,facilitateur
facilitators,facilitateurs
facilities,installations
facility,établissement
facing,orienté vers
facings,facings
facsimile,facsimilé
facsimiles,fac-similés
fact,fait
faction,faction
factional,factional
factionalism,factionnalisme
factions,factions
factious,factieux
factitious,artificiel
factor,facteur
factored,factorisé
factorial,factoriel
factorials,factoriels
factories,des usines
factoring,affacturage
factorisable,factorisable
factorisation,factorisation
factorisations,factorisations
factorise,factoriser
factorised,factorisé
factorises,factorise
factorising,factoriser
factors,facteurs
factory,usine
factotum,factotum
facts,faits
factual,factuel
factually,factuellement
faculties,facultés
faculty,la faculté
fad,mode
fade,fondu
faded,délavé
fadeout,disparaître
fades,fondus
fading,décoloration
fads,fades
faecal,fécale
faeces,fèces
fag,pédé
faggot,fagot
faggots,fagots
fagot,fagot
fags,fags
fail,échouer
failed,échoué
failing,échouer
failings,les échecs
fails,échoue
failure,échec
failures,les échecs
faint,perdre connaissance
fainted,évanoui
fainter,plus faible
faintest,le plus faible
fainthearted,pusillanime
fainting,évanouissement
faintly,faiblement
faintness,malaise
faints,s'évanouit
fair,juste
fairer,plus juste
fairest,plus juste
fairground,champ de foire
fairgrounds,champs de foire
fairies,fées
fairing,carénage
fairish,fairy
fairly,équitablement
fairness,justice
fairs,foires
fairsex,Fairsex
fairway,fairway
fairways,fairways
fairy,Fée
fairytale,Conte de fée
faith,Foi
