a,een
blasphemer,godslasteraar
blasphemers,godslasteraars
blasphemies,godslasteringen
blaspheming,lasterende
blasphemous,godslasterlijk
blasphemously,godslasterlijk
blasphemy,godslastering
blast,ontploffing
blasted,gestraald
blaster,blaster
blasters,blasters
blasting,ontploffing
blasts,ontploffing
blat,blat
blatancy,blatancy
blatant,schreeuwerig
blatantly,schaamteloos
blaze,bles
blazed,vlamde
blazer,blazer
blazers,blazers
blazes,vlamt
blazing,brandend
bleach,bleken
bleached,gebleekt
bleacher,bleker
bleachers,tribunes
bleaches,bleekmiddelen
bleaching,bleken
bleak,guur
bleaker,somberder
bleakest,somberste
bleakly,somber
bleakness,kilheid
blearily,blearily
bleary,vaag
blearyeyed,blearyeyed
bleat,blaten
bleated,blaatte
bleating,blaten
bleats,bleats
bled,bloedde
bleed,bloeden
bleeder,afperser
bleeders,bleeders
bleeding,bloeden
bleeds,bloedt
bleep,oproepen
bleeped,weggepiepte
bleeper,bleeper
bleeping,bleeping
bleeps,bliepjes
blemish,smet
blemished,bezoedeld
blemishes,vlekken
blench,terugdeinzen
blenched,Blenched
blend,mengsel
blended,blended
blender,blender
blenders,blenders
blending,blending
blends,blends
blesbok,blesbok
bless,zegenen
blessed,gezegend
blessedness,gelukzaligheid
blesses,zegent
blessing,zegen
blessings,zegeningen
blew,blies
blight,meeldauw
blighted,ellendig
blighting,vernietigende
blights,vergalt
blimp,blimp
blimps,blimps
blind,Blind
blinded,verblind
blinder,blinder
blindest,blindste
blindfold,geblinddoekt
blindfolded,geblinddoekt
blindfolds,blinddoeken
blinding,verblindende
blindingly,verblindend
blindly,blindelings
blindness,blindheid
blinds,blinds
blink,knipperen
blinked,knipperde
blinker,oogklep
blinkered,blinkered
blinkering,blinkering
blinkers,stofbril
blinking,knipperen
blinks,knippert
blip,echo
blips,blips
bliss,geluk
blissful,zalig
blissfully,gelukzalig
blister,blaar
blistered,blaren
blistering,blaarvorming
blisteringly,blisteringly
blisters,blaren
blithe,blithe
blithely,blithely
blithering,praatziek
blitz,blitz
blitzkrieg,bliksemsneloorlog
blizzard,sneeuwstorm
blizzards,sneeuwstormen
bloat,zwellen
bloated,opgeblazen
bloating,opgeblazen gevoel
blob,bobbel
blobs,blobs
bloc,blok
block,blok
blockade,blokkade
blockaded,blokkeerden
blockades,blokkades
blockading,blokkeerden
blockage,verstopping
blockages,blokkades
blockbuster,blockbuster
blockbusters,blockbusters
blockbusting,blokkenbrekend
blocked,geblokkeerd
blockers,blockers
blockhead,domkop
blockheads,blockheads
blocking,blokkeren
blockish,stomp
blocks,blokken
blocky,blokkerig
blocs,blokken
bloke,vent
blokes,blokes
blond,blond
blonde,blond
blonder,blonder
blondes,blondes
blondest,blondste
blondhaired,blondhaired
blonds,blonds
blood,bloed
bloodbath,bloedbad
bloodcurdling,die de haren te berge doet rijzen
blooded,volbloed
bloodhound,bloedhond
bloodhounds,bloedhonden
bloodied,bebloede
bloodier,bloediger
bloodies,bloodies
bloodiest,bloedigste
bloodily,bloodily
bloodless,bloedeloos
bloodlessness,bloedeloosheid
bloodletting,aderlating
bloodline,bloedlijn
bloodlust,bloodlust
bloodred,bloed rood
bloods,bloods
bloodshed,bloedvergieten
bloodshot,bloeddoorlopen
bloodsport,bloed sport
bloodsports,bloodsports
bloodstain,bloedvlek
bloodstained,met bloed bevlekt
bloodstains,bloedvlekken
bloodstock,bloodstock
bloodstone,bloedsteen
bloodstream,bloedstroom
bloodsuckers,bloedzuigers
bloodthirstier,bloodthirstier
bloodthirstiest,bloodthirstiest
bloodthirsty,bloeddorstig
bloodworm,rode worm
bloody,bloedig
bloodymindedness,bloodymindedness
bloom,bloeien
bloomed,bloeide
bloomer,bloeier
bloomers,wijde broek
blooming,bloeiend
blooms,bloei
bloomy,donzig
blossom,bloesem
blossomed,bloeide
blossoming,bloeiende
blossoms,bloesems
blot,vlek
blotch,vlek
blotched,kladderig
blotches,vlekken
blotchy,kladderig
blots,vlekken
blotted,uitgewist
blotter,vloeipapier
blotting,blotting
blouse,blouse
blouses,blouses
blow,blazen
blowdried,droog geblazen
blowdrying,föhnen
blowed,blowed
blower,blazer
blowers,blowers
blowfly,vleesvlieg
blowing,blowing
blowlamp,lassenlamp
blown,geblazen
blowpipe,blaaspijp
blowpipes,blaaspijpen
blows,klappen
blowtorch,steekvlam
blowtorches,branders
blowup,opblazen
blubber,walvisspek
blubbered,behuild
blubbering,blubbering
bludgeon,knuppel
bludgeoned,doodgeknuppeld
bludgeoning,bludgeoning
bludgeons,knuppels
blue,blauw
bluebell,klokje
bluebells,boshyacinten
blueberries,bosbessen
blueberry,bosbes
bluebird,blauwe vogel
bluebirds,bluebirds
blueblooded,blueblooded
bluebottle,bromvlieg
bluebottles,bluebottles
bluecollar,bluecollar
blueish,blauwachtig
bluemoon,blauwe maan
blueness,blauwheid
bluenile,Bluenile
blueprint,plan
blueprints,blauwdrukken
bluer,blauwer
blues,blues
bluest,blauwste
bluesy,bluesy
bluff,bluffen
bluffed,gebluft
bluffer,bluffer
bluffers,bluffers
bluffing,bluffen
bluffs,bluffs
bluish,blauwachtig
blunder,flater
blunderbuss,blunderbuss
blundered,geblunderd
blundering,foutief
blunderings,blunderings
blunders,blunders
blunt,stomp
blunted,afgestompt
blunter,botter
bluntest,botste
blunting,afstompen
bluntly,botweg
bluntness,stompzinnigheid
blunts,joints
blur,vervagen
blurb,flaptekst
blurbs,blurbs
blurred,wazig
blurring,vervaging
blurry,wazig
blurs,vervaagt
blurt,er uit flappen
blurted,flapte
blurting,blurting
blurts,ERUIT FLAPT
blush,blozen
blushed,bloosde
blusher,blusher
blushers,blushers
blushes,bloost
blushing,blozen
blushingly,blozend
bluster,snoeven
blustered,raasde
blustering,blustering
blusters,blusters
blustery,heftig
bmus,BMus
boa,boa
boar,mannetjesvarken
board,boord
boarded,boord
boarder,kostganger
boarders,boarders
boardgames,bordspellen
boarding,boarding
boardings,aangehouden
boardroom,raadzaal
boardrooms,boardrooms
boards,boards
boars,zwijnen
boas,boa's
boast,opscheppen
boasted,geroemde
boaster,pocher
boasters,laatdunkend
boastful,opschepperig
boastfully,boastfully
boastfulness,opschepperij
boasting,opscheppen
boasts,roemt
boat,boot
boated,boated
boater,veerman
boaters,watersporters
boathouse,botenhuis
boathouses,boothuizen
boating,varen
boatload,scheepslading
boatman,schipper
boatmen,binnenschippers
boats,boten
boatswain,bootsman
bob,bob
bobbed,kortgeknipt
bobbies,bobbies
bobbin,spoel
bobbing,dobberende
bobbins,klossen
bobble,bobble
bobbles,bobbles
bobby,Bobby
bobcat,bobcat
bobs,bobs
bobsled,bobslee
bobtail,kortstaart
bobtails,bobtails
bode,voorspellen
boded,boded
bodes,Bodes
bodice,lijfje
bodices,lijfjes
bodied,bodied
bodies,lichamen
bodiless,onstoffelijk
bodily,lichamelijk
boding,Boding
bodkin,priem
body,lichaam
bodybuilding,bodybuilding
bodyguard,lijfwacht
bodyguards,bodyguards
bodywork,carrosserie
boer,Boer
boers,boers
boerwar,Boerenoorlog
boffin,geleerde
boffins,techneuten
bog,moeras
bogey,boeman
bogeyman,boeman
bogeymen,boemannen
bogeys,bogeys
bogged,Verzonken
boggiest,boggiest
bogging,bogging
boggle,morrelen
boggled,boggled
boggles,boggles
boggling,boggling
bogglingly,bogglingly
boggy,moerassig
bogies,draaistellen
bogs,moerassen
bogus,vals
bogy,boeman
bohemian,Boheems
boil,koken
boiled,gekookt
boiler,ketel
boilermakers,boilermakers
boilers,boilers
boiling,kookpunt
boils,kookt
boisterous,onstuimig
boisterously,luidruchtig
bola,bola
bold,stoutmoedig
bolder,bolder
boldest,brutaalste
boldface,vette letter
boldly,stoutmoedig
boldness,vrijmoedigheid
bole,stam
bolero,bolero
boleyn,Boleyn
bolivia,Bolivia
bollard,bollard
bollards,bolders
bologna,Bologna
bolster,ondersteunen
bolstered,versterkt
bolstering,bolstering
bolsters,bolsters
bolt,bout
bolted,geschroefd
bolting,builen
bolts,bouten
bomb,bom
bombard,bombarderen
bombarded,gebombardeerd
bombardier,korporaal van artillerie
bombarding,bombarderen
bombardment,bombardement
bombardments,bombardementen
bombards,bombardeert
bombast,bombast
bombastic,bombastisch
bombasts,bombasts
bombay,Bombay
bombed,gebombardeerd
bomber,bommenwerper
bombers,bommenwerpers
bombing,bombardement
bombings,bomaanslagen
bombs,bommen
bombshell,bom
bonanza,welvaart
bonanzas,bonanzas
bonbon,bonbon
bonbons,bonbons
bond,obligatie
bondage,slavernij
bonded,gebonden
bondholders,obligatiehouders
bonding,bonding
bondings,verlijmingen
bonds,obligaties
bone,bot
boned,uitgebeend
boneless,zonder been
bonemeal,beendermeel
bones,beenderen
boney,boney
bonfire,vreugdevuur
bonfires,vreugdevuren
bong,bong
bongs,waterpijpen
bonier,bonier
boniest,boniest
bonn,bonn
bonnet,kap
bonneted,torpedo
bonnets,mutsen
bonnie,bonnie
bonniest,bonniest
bonny,aardig
bonobo,bonobo
bonsai,bonsai
bonus,bonus
bonuses,bonussen
bony,benig
boo,boe
boobies,Jan van Genten
booboo,boe boe
booby,domoor
boobytrap,boobytrap
boobytrapped,boobytrapped
boobytraps,boobytraps
booed,uitgejouwd
boohoo,boehoe
booing,gejoel
book,boek
bookable,boekbaar
bookbinder,boekbinder
bookbinders,boekbinders
bookbinding,boekbinding
bookcase,boekenkast
bookcases,boekenkasten
booked,geboekt
bookends,boekensteunen
bookers,boekers
bookie,boekmaker
bookies,bookies
booking,reservering
bookings,boekingen
bookish,boekachtig
bookkeeper,boekhouder
bookkeeping,boekhouding
booklet,boekje
booklets,boekjes
bookmaker,bookmaker
bookmakers,bookmakers
bookmaking,bookmaking
bookmark,bladwijzer
bookmarks,bladwijzers
books,boeken
bookseller,boekhandelaar
booksellers,boekverkopers
bookshelf,boekenplank
bookshelves,boekenkasten
bookshop,boekenwinkel
bookshops,boekhandels
bookstall,boekenstalletje
bookstalls,boekenstalletjes
bookwork,boekwerk
bookworm,boekenworm
bookworms,boekenwurmen
boom,boom
boomed,bulderde
boomer,boomer
boomerang,boemerang
boomeranging,boemerang
boomerangs,boemerangs
booming,booming
booms,gieken
boon,zegen
boons,boons
boor,pummel
boorish,lomp
boorishly,blind de
boorishness,boorishness
boors,boors
boos,boos
boost,boost
boosted,versterkt
booster,booster
boosters,boosters
boosting,het stimuleren
boosts,boosts
boot,bagageruimte
booted,gelaarsd
bootees,sokjes
booth,kraam
booths,cabines
booting,booting
bootlace,schoenveter
bootlaces,laarsveters
bootleg,schacht
bootless,vruchteloos
bootprints,bootprints
boots,laarzen
bootstrap,bootstrap
bootstraps,bootstraps
booty,buit
booze,drank
boozed,boozed
boozer,alcoholist
boozers,boozers
boozes,boozes
bop,bop
bops,BOP
boracic,boorzuur
borate,boraat
borates,boraten
borax,borax
bordeaux,Bordeaux
border,grens
bordered,omzoomd
borderer,borderer
bordering,grenzend
borderline,grens
borders,borders
bore,boorgat
boreal,boreale
bored,verveeld
boredom,verveling
borehole,boorgat
boreholes,boorgaten
borer,boorder
borers,boren
bores,boringen
boring,saai
boringly,boringly
born,geboren
bornagain,opnieuw geboren
borne,borne
borneo,Borneo
boron,borium
borough,stad
boroughs,stadsdelen
borrow,lenen
borrowable,borrowable
borrowed,geleend
borrower,lener
borrowers,leners
borrowing,ontlening
borrowings,leningen
borrows,leent
borstal,Jeugdgevangenis
borstals,borstals
bosnia,Bosnië
bosom,boezem
bosoms,boezems
boson,boson
bosons,bosonen
boss,baas
bossed,commanderen
bosses,bosses
bossier,bossier
bossiest,bossiest
bossiness,bossiness
bossing,opdruk
bossy,bazig
boston,Boston
bosun,bootsman
botanic,botanisch
botanical,botanisch
botanically,botanisch
botanist,botanist
botanists,botanici
botany,plantkunde
botch,beunhazen
botched,opgelapte
both,beide
bother,dwars zitten
bothered,lastig gevallen
bothering,dwars
bothers,stoort
bothersome,vervelend
bothy,krot
botswana,Botswana
bottle,fles
bottled,gebotteld
bottlefed,bottlefed
bottlefeed,bottlefeed
bottleneck,bottleneck
bottlenecks,bottlenecks
bottler,bottelaar
bottles,flessen
bottling,bottelen
bottom,bodem
bottomed,dieptepunt
bottoming,dieptepunt
bottomless,bodemloos
bottommost,onderste
bottoms,bodems
botulism,botulisme
boudoir,boudoir
boudoirs,boudoirs
bouffant,bouffant
bougainvillea,bougainvillea
bough,tak
boughs,takken
bought,kocht
boulder,kei
boulders,keien
boulevard,boulevard
boulevards,boulevards
bounce,stuiteren
bounced,stuiterde
bouncer,uitsmijter
bouncers,bouncers
bounces,bounces
bouncier,bouncier
bounciest,bounciest
bouncing,stuiteren
bouncy,levendig
bound,gebonden
boundaries,grenzen
boundary,grens
bounded,begrensd
boundedness,begrensdheid
bounder,ploert
bounders,Bounders
bounding,bounding
boundless,grenzeloos
bounds,bounds
bounteous,vrijgevig
bounties,bounties
bountiful,rijkelijk
bountifully,overvloedig
bounty,gave
bouquet,boeket
bouquets,boeketten
bourbon,bourbon
bourbons,bourbons
bourgeois,burgerlijk
bourgeoisie,bourgeoisie
bout,aanval
boutique,winkel
boutiques,boetieks
bouts,aanvallen
bovine,rund
bow,boog
bowdlerisation,bowdlerisation
bowdlerised,bowdlerised
bowdlerising,bowdlerising
bowed,gebogen
bowel,darm
bowels,ingewanden
bower,prieel
bowers,bowers
bowie,bowie
bowing,buigen
bowl,kom
bowlder,bowlder
bowled,gebowld
bowler,bowler
bowlers,bowlers
bowlines,boelijnen
bowling,bowling
bowls,kommen
bowman,schutter
bowmen,boogschutters
bows,bogen
bowsprit,boegspriet
bowstring,bowstring
box,doos
boxed,boxed
boxer,bokser
boxers,boxers
boxes,dozen
boxful,boxful
boxing,boksen
boxoffice,kassa
boxtops,boxtops
boxwood,palmhout
boxy,boxy
boy,jongen
boycott,boycot
boycotted,geboycot
boycotting,boycotten
boycotts,boycots
boyfriend,vriendje
boyfriends,vriendjes
boyhood,jongensjaren
boyish,jongensachtig
boyishly,jongensachtig
boys,jongens
boyscout,padvinder
bra,beha
brabble,twistgesprek
brabbled,brabbled
brabbles,brabbles
brace,beugel
braced,verstijfd
bracelet,armband
bracelets,armbanden
bracer,bracer
braces,een beugel
brachiopods,brachiopods
bracing,versterking
bracingly,bracingly
bracken,adelaarsvaren
bracket,haakje
bracketed,tussen haakjes
bracketing,bracketing
brackets,beugels
brackish,brak
bradawl,els
bradycardia,bradycardie
brag,opscheppen
braggart,bluffer
braggarts,opscheppers
bragged,opgeschept
bragging,pocherij
brags,opschept
brahman,brahman
brahms,brahms
braid,vlecht
braided,gevlochten
braiding,vlechten
braids,vlechtjes
brail,brail
braille,braille
brain,hersenen
braincell,hersencel
braincells,hersencellen
brainchild,idee
braindamaged,hersenschade
braindead,hersendood
brainier,brainier
brainless,hersenloos
brainlessly,brainlessly
brainlessness,brainlessness
brainpower,hersen kracht
brains,hersenen
brainstorm,brainstorm
brainstorming,brainstorming
brainstorms,brainstorms
brainteasers,breinbrekers
brainteasing,breinbrekende
brainwash,hersensspoelen
brainwashed,gehersenspoeld
brainwashing,hersenspoeling
brainwave,brainwave
brainwaves,hersengolven
brainy,snugger
braise,smoren
braised,gestoofd
brake,rem
braked,geremd
brakes,remmen
braking,remmen
bramble,braamstruik
brambles,bramen
bran,zemelen
branch,tak
branched,vertakte
branches,takken
branching,vertakking
branchy,getakt
brand,merk
branded,branded
brandies,brandewijn
branding,branding
brandish,zwaaien
brandished,zwaaide
brandishes,zwaait
brandishing,zwaaiend
brands,merken
brandy,brandewijn
brans,zemelen
bras,bras
brash,breekbaar
brasher,brasher
brashly,brashly
brashness,brashness
brasiers,Brasiers
brasil,brasil
brasilia,brasilia
brass,messing
brasserie,brasserie
brasses,brasses
brassiere,beha
brassy,koperkleurig
brat,kind
brats,snotapen
bratty,bratty
bravado,bravade
brave,dapper
braved,trotseerden
bravely,dapper
braver,moediger
bravery,moed
braves,Braves
bravest,dapperste
braving,trotseren
bravo,Bravo
braw,braw
brawl,ruzie
brawled,vuist
brawler,schreeuwer
brawling,vechtpartijen
brawls,vechtpartijen
brawn,hoofdkaas
brawnier,brawnier
brawniest,brawniest
brawny,gespierd
bray,balken
brayed,balkte
braying,balken
brays,balkt
braze,solderen
brazen,bronzen
brazened,brazened
brazenly,schaamteloos
brazenness,brazenness
brazier,koperslager
braziers,vuurpotten
brazil,Brazilië
brazing,solderen
breach,schending
breached,geschonden
breaches,inbreuken
breaching,overtreden
bread,brood
breadandbutter,brood en boter
breadboard,broodplank
breadboards,breadboards
breadcrumbs,paneermeel
breaded,gepaneerd
breadfruit,breadfruit
breadline,armoedegrens
breads,broden
breadth,breedte
breadths,breedten
breadwinner,kostwinner
breadwinners,kostwinners
break,breken
breakable,breekbaar
breakage,breken
breakages,breuk
breakaway,losbreken
breakaways,breakaways
breakdown,afbreken
breakdowns,storingen
breaker,breker
breakers,branding
breakfast,ontbijt
breakfasted,ontbeten
breakfasting,ontbijten
breakfasts,ontbijten
breakin,inbreken
breaking,breken
breakins,breakins
breakneck,halsbrekend
breakout,uitbreken
breakpoint,breekpunt
breakpoints,breekpunten
breaks,breaks
breakthrough,doorbraak
breakthroughs,doorbraken
breakup,Uitmaken
breakups,scheidingen
breakwater,golfbreker
breakwaters,golfbrekers
bream,brasem
breast,borst
breastbone,borstbeen
breasted,breasted
breastfeed,borstvoeding
breastfeeding,borstvoeding
breasting,breasting
breastplate,borstplaat
breasts,borsten
breaststroke,schoolslag
breath,adem
breathable,ademend
breathalysed,breathalysed
breathalyser,blaaspijpje voor alcoholcontrole
breathalysers,breathalysers
breathe,ademen
breathed,ademde
breather,adempauze
breathes,ademt
breathing,ademen
breathings,ademhalingen
breathingspace,ademruimte
breathless,ademloos
breathlessly,ademloos
breathlessness,ademloosheid
breaths,ademhalingen
breathtaking,adembenemend
breathtakingly,adembenemend
breathy,breathy
breccias,breccias
brecciated,brecciated
bred,gefokt
breech,sluitstuk
breeches,korte broek
breed,ras
breeder,fokker
breeders,fokkers
breeding,teelt
breeds,rassen
breeze,bries
breezed,breezed
breezes,briesjes
breezier,breezier
breeziest,breeziest
breezily,breezily
breezing,breezing
breezy,winderig
brethren,broeders
breton,breton
breviary,brevier
brevity,beknoptheid
brew,brouwen
brewage,brouwsel
brewed,gebrouwen
brewer,bierbrouwer
breweries,brouwerijen
brewers,brouwers
brewery,brouwerij
brewing,bierbrouwerij
brews,brouwt
briar,wilde roos
bribe,steekpenning
bribed,omkoopbaar
briber,omkoper
bribers,omkopers
bribery,omkoperij
bribes,steekpenningen
bribing,omkopen
bricabrac,bricabrac
brick,steen
brickbat,brokstuk van baksteen
brickbats,baksteenpuin
bricked,bricked
bricking,metselen
bricklayer,metselaar
bricklayers,metselaars
bricklaying,metselen
brickred,baksteenrood
bricks,bakstenen
brickwork,metselwerk
bridal,bruids
bridals,bridals
bride,bruid
bridegroom,bruidegom
bridegrooms,bruidegommen
brides,bruiden
bridesmaid,bruidsmeisje
bridesmaids,bruidsmeisjes
bridge,brug
bridgebuilding,bridgebuilding
bridged,overbrugd
bridgehead,bruggehoofd
bridges,bruggen
bridging,overbrugging
bridle,teugel
bridled,toom
bridles,hoofdstellen
bridleway,bridleway
bridleways,ruiterpaden
bridling,beteugelen
brief,kort
briefcase,aktentas
briefcases,aktetassen
briefed,ingelicht
briefer,briefer
briefest,kortste
briefing,briefing
briefings,briefings
briefly,kort
briefs,slip
briers,briers
brig,brik
brigade,brigade
brigades,brigades
brigadier,brigadegeneraal
brigadiers,brigadiers
brigand,rover
brigands,struikrovers
bright,helder
brighten,opvrolijken
brightened,klaarde
brightening,verheldering
brightens,heldert
brighter,helderder
brightest,helderste
brighteyed,brighteyed
brightly,helder
brightness,helderheid
brightnesses,helderheden
brighton,Brighton
brilliance,glans
brilliancy,glans
brilliant,briljant
brilliantly,briljant
brim,rand
brimmed,gerande
brimming,boordevol
brims,Brims
brimstone,zwavel
brindled,getijgerd
brine,pekel
brines,pekel
bring,brengen
bringer,brenger
bringing,brengen
brings,brengt
brink,rand
brinkmanship,op de rand van een oorlog
brinks,brinks
briny,zilt
brio,brio
brioche,brioche
briquettes,briketten
brisbane,Brisbane
brisk,levendig
brisker,brisker
briskest,briskest
briskly,stevig
briskness,briskness
bristle,borstel
bristled,haren
bristles,borstelharen
bristling,borstelige
bristly,borstelig
brit,brit
britain,Brittannië
british,Brits
britons,Britten
brittle,bros
brittleness,broosheid
broach,aanboren
broached,aangesneden
broaches,broches
broaching,trekfreeswerk
broad,breed
broadband,breedband
broadcast,uitzending
broadcaster,omroeper
broadcasters,omroepen
broadcasting,omroep
broadcasts,uitzendingen
broaden,verbreden
broadened,verbreed
broadening,verbreding
broadens,verbreedt
broader,bredere
broadest,breedste
broadleaved,breedbladige
broadloom,kamerbreed
broadly,breed
broadminded,ruimdenkend
broadmindedness,ruimdenkendheid
broadness,grofheid
broadsheet,vlugschrift
broadsheets,plano
broadside,volle laag
broadsides,breedtes
broadsword,slagzwaard
broadswords,broadswords
broadway,broadway
brocade,brokaat
brocaded,brocaded
broccoli,broccoli
brochure,brochure
brochures,brochures
brogue,grove schoen
brogues,brogues
broil,braden
broiled,geroosterde
broiler,kuiken
broiling,snikheet
broils,broils
broke,kapot gegaan
broken,gebroken
brokenhearted,ontroostbaar
brokenly,hortend
broker,makelaar
brokerage,makelaardij
brokered,brokers worden
brokers,brokers
broking,broking
bromide,bromide
bromides,bromiden
bromine,broom
bronchi,luchtpijpvertakkingen
bronchial,bronchiale
bronchitis,bronchitis
bronco,bronco
brontosaurus,brontosaurus
bronze,bronzen
bronzed,bronzen
bronzes,bronzen
brooch,broche
brooches,broches
brood,broeden
brooded,broedde
broodiness,broedsheid
brooding,broeden
broodingly,broodingly
broods,broedsels
broody,broody
brook,beek
brooklyn,Brooklyn
brooks,beken
broom,bezem
brooms,bezems
broomstick,bezemsteel
broomsticks,bezemstelen
broth,bouillon
brothel,bordeel
brothels,bordelen
brother,broer
brotherhood,broederschap
brotherinlaw,zwager
brotherly,broederlijk
brothers,broers
brothersinlaw,schoonbroers
broths,bouillons
brought,bracht
brouhaha,brouhaha
brow,voorhoofd
browbeat,overdonderen
browbeaten,overdonderen
browbeating,browbeating
brown,bruin
browned,gebruind
browner,bruiner
brownest,brownest
brownie,kabouter
brownies,brownies
browning,Browning
brownish,bruinig
brownness,brownness
browns,Browns
brows,brows
browse,doorbladeren
browsed,gebladerd
browser,browser
browsers,browsers
browses,doorzoekt
browsing,browsing
bruise,blauwe plek
bruised,gekneusd
bruiser,ruwe vechtersbaas
bruisers,krachtpatsers
bruises,kneuzingen
bruising,blauwe plekken
brunch,brunch
brunches,brunches
brunei,Brunei
brunet,Brunet
brunets,Brunets
brunette,brunette
brunettes,brunettes
brunt,dupe
brunts,Brunts
brush,borstel
brushed,geborsteld
brushes,borstels
brushing,borstelen
brushoff,brushoff
brushup,oppoetsen
brushwood,kreupelhout
brushwork,penseelvoering
brushy,grof
brusque,brusk
brusquely,bruusk
brusqueness,bruskheid
brussels,Brussel
brutal,brutaal
brutalisation,verruwing
brutalise,brutalise
brutalised,wreed
brutalising,verdierlijkende
brutalism,brutalisme
brutalities,wreedheden
brutality,beestachtigheid
brutally,brutaal
brute,bruut
brutes,bruten
brutish,dierlijk
brutishness,dierlijkheid
brutus,brutus
bub,bub
bubble,bubbel
bubbled,geborreld
bubblegum,kauwgom
bubbles,bubbels
bubblier,bubblier
bubbliest,bubbliest
bubbling,bubbling
bubbly,champagne
bubonic,builenpest
buccaneer,zeerover
buccaneering,buccaneering
buccaneers,boekaniers
buck,reebok
bucked,bucked
bucket,emmer
bucketful,emmer
bucketfuls,bucketfuls
bucketing,bucketing
buckets,emmers
bucking,gemaal
buckle,gesp
buckled,verbogen
buckler,beukelaar
bucklers,schilden
buckles,gespen
buckling,knik
buckminsterfullerene,buckminsterfullereen
buckpassing,buckpassing
bucks,bucks
buckshot,grove hagel
buckskin,boksvel
bucolic,herderlijk
bud,knop
budapest,Boedapest
budded,Ontloken
buddhism,Boeddhisme
buddhist,Boeddhist
buddies,buddies
budding,ontluikende
buddings,oculaties
buddy,makker
budge,verroeren
budged,steeds op dezelfde plek
budgerigar,grasparkiet
budget,begroting
budgetary,budgettaire
budgeted,begroot
budgeting,budgettering
budgets,budgetten
budgie,grasparkiet
budgies,grasparkieten
budging,het goede voorbeeld geeft
buds,bloemknoppen
buff,bruingeel
buffalo,buffel
buffer,buffer
buffered,gebufferd
buffering,buffering
buffers,buffers
buffet,buffet
buffeted,buffeted
buffeting,buffeting
buffetings,buffetings
buffets,buffetten
buffing,polijsten
buffoon,hansworst
buffoonery,grappenmakerij
buffoons,buffoons
buffs,buffs
bug,kever
bugbear,schrikbeeld
bugbears,bugbears
bugeyed,Bugeyed
bugged,afgeluisterd
bugger,bugger
buggered,Vervloekt
buggering,Buggering
buggers,buggers
buggery,buggery
buggies,buggies
bugging,afluisteren
buggy,buggy
bugle,hoorn
bugler,hoornblazer
buglers,bugelblazers
bugles,bugels
bugs,bugs
build,bouwen
builder,bouwer
builders,bouwers
building,gebouw
buildings,gebouwen
builds,bouwt
buildup,opbouwen
buildups,buildups
built,gebouwd
builtin,ingebouwde
builtup,opgebouwd
bulb,lamp
bulbous,knolvormig
bulbs,bollen
bulgaria,bulgarije
bulge,uitpuilen
bulged,puilden
bulges,uitstulpingen
bulging,uitpuilende
bulgy,uitpuilend
bulimia,boulimia
bulimic,bulimisch
bulk,massa
bulkhead,waterdicht schot
bulkheads,schotten
bulkier,omvangrijker
bulkiest,dikste
bulks,bulks
bulky,omvangrijk
bull,bul
bulldog,bulldog
bulldogs,bulldogs
bulldoze,bulldozer
bulldozed,platgewalst
bulldozer,bulldozer
bulldozers,bulldozers
bulldozing,bulldozing
bullet,kogel
bulletin,bulletin
bulletins,bulletins
bulletproof,kogelvrij
bullets,bullets
bullfight,stierengevecht
bullfighting,stierenvechten
bullfinch,goudvink
bullfrog,brulkikker
bullied,gepest
bullies,pestkoppen
bullion,ongemunt goud
bullish,bullish
bullock,os
bullocks,ossen
bulls,stieren
bully,bullebak
bullying,pesten
bulrushes,bulrushes
bulwark,bolwerk
bulwarks,bolwerken
bum,kont
bumble,stuntel
bumbled,bumbled
bumbler,bumbler
bumblers,bumblers
bumbles,bumbles
bumbling,lomp
bump,buil
bumped,gestoten
bumper,bumper
bumpers,bumpers
bumpier,bumpier
bumpiest,bumpiest
bumping,stoten
bumpkin,boerenkinkel
bumpkins,bumpkins
bumps,Drempels
bumptious,aanmatigend
bumpy,hobbelig
bums,bums
bun,bun
bunch,bos
bunched,gebundelde
bunches,trossen
bunching,opeenhoping
bundle,bundel
bundled,gebundeld
bundles,bundels
bundling,bundeling
bung,spon
bungalow,bungalow
bungalows,bungalows
bungee,bungee
bungle,afraffelen
bungled,bungled
bungler,knoeier
bunglers,knoeiers
bungles,verprutst
bungling,geknoei
bunion,eeltknobbel onder grote teen
bunions,eeltknobbels
bunk,slaapbank
bunked,bunked
bunker,bunker
bunkered,bunkered
bunkers,bunkers
bunks,stapelbedden
bunkum,onzin
bunnies,konijntjes
bunny,konijn
buns,broodjes
bunting,vlaggedoek
bunyan,Bunyan
buoy,boei
buoyancy,drijfvermogen
buoyant,drijvend
buoyantly,drijvend
buoyed,die werd gestimuleerd
buoys,boeien
bur,klis
burble,murmelen
burbled,burbled
burbles,viertakten
burbling,burbling
burden,last
burdened,belast
burdening,belasting
burdens,lasten
burdensome,zwaar
burdock,klit
bureau,bureau
bureaucracies,bureaucratieën
bureaucracy,bureaucratie
bureaucrat,bureaucraat
bureaucratic,bureaucratisch
bureaucratically,bureaucratisch
bureaucratisation,bureaucratisering
bureaucrats,bureaucraten
bureaus,bureaus
bureaux,bureaux
burette,buret
burg,burg
burgeon,Burgeon
burgeoned,burgeoned
burgeoning,ontluikende
